model,h,N,train_frac,seed,nll_val,nll_test
state_cond,1,55,0.25,42,4.006375312805176,4.014575958251953
state_cond,1,55,0.25,7,4.004936695098877,4.005220890045166
state_cond,1,55,0.25,123,4.01457405090332,4.010039329528809
state_free,1,55,0.25,42,4.005935192108154,4.012117385864258
state_free,1,55,0.25,7,4.017984390258789,4.0116963386535645
state_free,1,55,0.25,123,4.0190863609313965,4.009770393371582
state_cond,1,55,0.5,42,4.005091667175293,4.01285982131958
state_cond,1,55,0.5,7,4.001960754394531,4.003823757171631
state_cond,1,55,0.5,123,4.013217926025391,4.010037422180176
state_free,1,55,0.5,42,4.005037784576416,4.0114288330078125
state_free,1,55,0.5,7,4.015172481536865,4.0141072273254395
state_free,1,55,0.5,123,4.002775192260742,4.056626796722412
state_cond,1,55,0.75,42,3.972996950149536,4.037062644958496
state_cond,1,55,0.75,7,3.964312791824341,4.020062446594238
state_cond,1,55,0.75,123,3.9827933311462402,4.000765323638916
state_free,1,55,0.75,42,3.967395782470703,4.166898250579834
state_free,1,55,0.75,7,3.962189197540283,4.107107639312744
state_free,1,55,0.75,123,3.9802753925323486,4.008401393890381
state_cond,1,55,1.0,42,4.003661632537842,4.0147223472595215
state_cond,1,55,1.0,7,3.964779853820801,4.015748977661133
state_cond,1,55,1.0,123,3.9784634113311768,4.04331111907959
state_free,1,55,1.0,42,3.9654905796051025,4.052250385284424
state_free,1,55,1.0,7,3.9848783016204834,4.026646137237549
state_free,1,55,1.0,123,3.9827561378479004,4.0037994384765625
state_cond,10,55,0.25,42,4.009558200836182,4.0019426345825195
state_cond,10,55,0.25,7,4.013220310211182,4.012430191040039
state_cond,10,55,0.25,123,4.011292457580566,4.009481906890869
state_free,10,55,0.25,42,4.005496978759766,4.008141040802002
state_free,10,55,0.25,7,4.010262966156006,4.012207984924316
state_free,10,55,0.25,123,4.010542869567871,4.015462398529053
state_cond,10,55,0.5,42,4.008830547332764,4.003360271453857
state_cond,10,55,0.5,7,4.009680271148682,4.010890960693359
state_cond,10,55,0.5,123,4.004539966583252,4.032226085662842
state_free,10,55,0.5,42,4.003973960876465,4.006980895996094
state_free,10,55,0.5,7,4.007420539855957,4.018178462982178
state_free,10,55,0.5,123,4.009787082672119,4.0127105712890625
state_cond,10,55,0.75,42,3.9745800495147705,3.98213529586792
state_cond,10,55,0.75,7,3.971508026123047,4.01557731628418
state_cond,10,55,0.75,123,3.9950244426727295,3.992436170578003
state_free,10,55,0.75,42,3.9705185890197754,3.9682562351226807
state_free,10,55,0.75,7,3.9782721996307373,3.967007875442505
state_free,10,55,0.75,123,3.9931700229644775,3.9886670112609863
state_cond,10,55,1.0,42,3.9898085594177246,3.985581159591675
state_cond,10,55,1.0,7,3.9844577312469482,4.0128068923950195
state_cond,10,55,1.0,123,3.997375726699829,3.9923267364501953
state_free,10,55,1.0,42,3.9914660453796387,3.9948229789733887
state_free,10,55,1.0,7,3.998210906982422,3.9880895614624023
state_free,10,55,1.0,123,3.989841938018799,4.005377769470215
