model,h,mean_kl,mean_tv,frobenius,note
state_cond,1,0.0,0.0,0.0,h=1: trivial (identity composition)
state_free,1,0.0,0.0,0.0,h=1: trivial (identity composition)
backoff_ck,1,0.0,0.0,0.0,h=1: trivial (identity composition)
state_cond,2,0.1518257361623464,0.1884228249360513,0.43999139218750233,
state_free,2,0.029923657421443962,0.08683062359810063,0.2252661335300956,
backoff_ck,2,0.010629770605921421,0.06374424261184554,0.15017166889536043,
state_cond,5,0.14033338038605306,0.20596788299766713,0.48803986470159005,
state_free,5,0.022478722448457344,0.08544158162245027,0.21194521984864909,
backoff_ck,5,0.0028525216138517223,0.03279331966617048,0.07669813312309734,
state_cond,10,0.15166526887593887,0.19300683437885635,0.4476646279344822,
state_free,10,0.02951516106039831,0.08466514931202034,0.22099700030609745,
backoff_ck,10,9.77588268226239e-05,0.00597987179403363,0.014014943810046924,
