config_type,h,N,N_actual,frac_cells_zero,frac_cells_lt5,median_nonzero_per_row,p90_nonzero_per_row,median_row_entropy_empirical,median_row_maxprob_empirical
cumulative,1,10,10,0.056363636363636366,0.8272727272727273,10.0,10.0,2.1305726850340814,0.2
cumulative,1,55,55,0.579504132231405,0.9986776859504132,23.0,26.0,3.0602870926086956,0.1
ck,1,55,55,0.5788429752066115,0.9986776859504132,23.0,26.0,3.0602870926086956,0.1
