n_bins,method,marginal_LL_test,additive_alpha,additive_LL_test,additive_delta,additive_acc,backoff_alpha,backoff_tau,backoff_LL_test,backoff_delta,backoff_acc
25,quantile,-3.2187584288342745,10.0,-3.2166063652815784,0.0021520635526961485,0.05056179775280899,10.0,500,-3.2173294517340136,0.0014289771002609086,0.05898876404494382
35,quantile,-3.554691817837398,10.0,-3.5625698130675296,-0.007877995230131773,0.025280898876404494,5.0,200,-3.5559814749053102,-0.0012896570679123975,0.02247191011235955
40,quantile,-3.688564659676893,10.0,-3.695031432544127,-0.00646677286723385,0.02247191011235955,10.0,100,-3.6894375259461225,-0.0008728662692294442,0.019662921348314606
55,original_fixed,-3.6927491571126554,1.0,-3.891563077318472,-0.19881392020581679,0.042134831460674156,0.001,500,-3.6908093914271287,0.0019397656855266732,0.03932584269662921
