n_bins,k,n_valid,marginal_LL,backoff_LL,delta_LL
55,1,355,-3.692661451743195,-3.6873676639948236,0.005293787748371415
55,2,354,-3.693314392853167,-3.692620076906397,0.0006943159467698301
55,3,353,-3.694514633934879,-3.693810708561448,0.0007039253734308915
55,5,351,-3.693570094565631,-3.6928692563994057,0.0007008381662254592
55,10,346,-3.6985550193595027,-3.6978940773851074,0.0006609419743952571
