mi_real,perm_mean,perm_std,z_score,p_value,delta_mi_nats,delta_mi_bits,n_bins,method,avg_samples_per_state,states_lt5
0.25379996944327354,0.19265437325034435,0.010698969358591876,5.715092187251273,0.001996007984031936,0.0611455961929292,0.08821444839973804,25,quantile,66.28,0
0.4686484578317603,0.4104659796893772,0.013763254051247033,4.227378055054604,0.001996007984031936,0.05818247814238309,0.0839395726826466,35,quantile,47.34285714285714,0
0.5779808018881925,0.5344087233504476,0.013769043364424699,3.164495701300694,0.001996007984031936,0.04357207853774481,0.06286122162762887,40,quantile,41.425,0
0.6594267883810804,0.6280426395520622,0.012748797901640057,2.4617339666966407,0.00998003992015968,0.03138414882901819,0.04527775587814571,55,original_fixed,31.264150943396228,11
