h,N,model,ece_neg_return,brier_neg_return
1,55,state_cond,0.05678385295224996,0.2452836459632319
1,55,state_free,0.08160366770926486,0.24853633112180729
1,55,backoff,0.08033776978313498,0.24845901161793246
