sigma,seed,nll_val,nll_test
0.5,42,3.8383336067199707,3.9593820571899414
0.5,7,3.8419079780578613,3.9711663722991943
0.5,123,3.8396966457366943,3.9442267417907715
1.0,42,3.8359858989715576,3.9548935890197754
1.0,7,3.834916114807129,3.952348470687866
1.0,123,3.835031509399414,3.9368574619293213
1.5,42,3.836452007293701,3.9543960094451904
1.5,7,3.8358473777770996,3.9483492374420166
1.5,123,3.8339321613311768,3.936861515045166
2.0,42,3.838061571121216,3.9507298469543457
2.0,7,3.8366892337799072,3.9486448764801025
2.0,123,3.833665609359741,3.937544822692871
3.0,42,3.838327169418335,3.9569406509399414
3.0,7,3.838503837585449,3.949694871902466
3.0,123,3.8343770503997803,3.940624475479126
