predictor,pearson_r,p_value
row_entropy_t,-0.5328529134210234,1.8265220821797714e-173
dobrushin_t,-0.23723853260126504,1.3750824051817015e-31
RV_t,0.14525903712421206,1.6067755680174252e-12
