metric,high_vol_mean,high_vol_std,tranquil_mean,tranquil_std,t_stat,p_value
dobrushin,0.028978961366234905,0.007882773267035573,0.03181339648745434,0.005424174331687315,-6.421893155344226,2.2611995468918647e-10
row_hetero,0.006912473621061001,0.002025728965163433,0.008039247065277305,0.001452115452810641,-9.800815610537978,1.4702966590986192e-21
row_entropy,3.8752879194557144,0.18318846195989189,3.9159054378852174,0.0472524156540591,-4.654538122591456,4.106194793226728e-06
KL_t_h5_sc,0.0887521910913125,0.11270365665712066,0.10472685864604876,0.07834334118496977,-2.5205116836703465,0.011903345039793243
