metric,period,pearson_r,p_value
dobrushin,full,-0.0412693155640251,0.0455960779452789
dobrushin,test,0.0698564004763887,0.188503376389425
row_hetero,full,-0.1015655880561324,8.199258167697912e-07
row_hetero,test,0.0636994213888393,0.230578797181382
row_entropy,full,-0.6218623892314519,2.8756275549974236e-251
row_entropy,test,0.0490249520402313,0.3563708191863675
dobrushin_vs_VIX,full,-0.20126096251062522,4.6985752818102014e-23
dobrushin_vs_VIX,test,0.272071777877267,1.8474197487113001e-07
row_hetero_vs_VIX,full,-0.28160731324854976,2.1450627389893461e-44
row_hetero_vs_VIX,test,0.26232554862158386,5.1582609983069e-07
row_entropy_vs_VIX,full,-0.3326068778536838,3.041942860151473e-62
row_entropy_vs_VIX,test,0.3206529458508582,5.900163132732074e-10
