t,dobrushin,row_hetero,row_entropy
0,0.04165910882875323,0.00991395229931532,3.9775909684049813
1,0.0335135767236352,0.007939195102362922,3.9322738927768617
2,0.039444619324058294,0.009313607446673743,3.9655106480536193
3,0.03214045148342848,0.0075222288512370806,3.907942359947556
4,0.041207332629710436,0.009796787852339874,3.9740769397708147
5,0.03214267734438181,0.00754125011075125,3.909460092022321
6,0.03623776603490114,0.008537570226573784,3.944603256620735
7,0.04521437222138047,0.010822464328773495,3.9916243412502364
8,0.03699572663754225,0.008801446352091302,3.9529742414321385
9,0.046665826346725225,0.011230761554054539,3.996468079719878
10,0.041557801887393,0.00988952770879373,3.975342844860784
11,0.04430029122158885,0.01060422751362677,3.9872736511317943
12,0.04313589399680495,0.010269081643359228,3.984320853613104
13,0.041374307591468096,0.009880199032500135,3.9764617122053147
14,0.03449202235788107,0.00819622502546218,3.939668896490222
15,0.03729075938463211,0.008775597361703512,3.9515001439189277
16,0.04374237218871713,0.010435659835986818,3.985772236444007
17,0.03896939568221569,0.009262158199893906,3.964109872711446
18,0.03431744175031781,0.008119589497369748,3.9349776442331543
19,0.0377411306835711,0.008935371477796574,3.9549875045675718
20,0.03855912247672677,0.009157744058178933,3.9602990309643067
21,0.03054264304228127,0.007088640585905474,3.8388694441656592
22,0.04217258468270302,0.01012788684192029,3.9818200628353835
23,0.0422671246342361,0.010043937239407089,3.979175942366083
24,0.04168376652523875,0.009908057475205423,3.9765956321836846
25,0.039264364168047905,0.009351519999480007,3.965413395944526
26,0.0431572119705379,0.010311871820352094,3.98262164651753
27,0.04547507269307971,0.010921259495972183,3.9927668492830173
28,0.03041385253891349,0.007155771937647753,3.889133183275781
29,0.038651466835290194,0.00914754225348784,3.9591662339667324
30,0.04669742099940777,0.011250520764727785,3.9963736601891524
31,0.04265513876453042,0.010155045657547235,3.9804480970739835
32,0.03787478758022189,0.009019829092001674,3.9583897609109444
33,0.045970064122229815,0.011086408645918071,3.9961492220761725
34,0.04274548729881644,0.010187192317035665,3.982280689295869
35,0.0445178747177124,0.010684747277109913,3.9901628353211605
36,0.04316937876865268,0.010321444456123744,3.9849491323164794
37,0.04554293677210808,0.010980291870933792,3.9943344208200933
38,0.04205129062756896,0.010086340122928323,3.980667280136778
39,0.04682987043634057,0.011319434200648707,3.9985478796722123
40,0.040995942894369364,0.009770281938365613,3.9749411760263187
41,0.044528497382998466,0.010665098208344544,3.990488617874357
42,0.0457636583596468,0.011046060098190901,3.9952141709475275
43,0.0475924126803875,0.011544921675615438,4.000871622677069
44,0.0437403810210526,0.010485615064499755,3.9872071056665814
45,0.043183470610529184,0.010327989458159766,3.984588628719857
46,0.04293809365481138,0.01021474397957626,3.9849465755512936
47,0.04690499138087034,0.011362471873636799,3.9997740323868083
48,0.046678239945322275,0.011303247793605833,3.998885173517967
49,0.04668766027316451,0.011306412292876428,3.9988677566406547
50,0.046069142408668995,0.01113968164493841,3.9966113534608247
51,0.04789560241624713,0.011642478164348137,4.002232235897138
52,0.04527954198420048,0.01090999736202887,3.993712446664247
53,0.048459002282470465,0.011785539972787152,4.0036202352736545
54,0.045412052888423204,0.010953320407932655,3.994334320967774
55,0.047535561956465244,0.011507701535116542,4.000994769925453
56,0.04617226589471102,0.01116748527946697,3.9966983437601487
57,0.04514972772449255,0.010892578591953223,3.9928361938501546
58,0.04861219320446253,0.01181822858550131,4.003365947308367
59,0.04020621720701456,0.00961333156974127,3.972107393780029
60,0.048822675831615925,0.012115841145040813,4.0050561139304595
61,0.04758171644061804,0.0117403326643888,4.002470016702258
62,0.048511140048503876,0.012006158266931471,4.00457546229579
63,0.04264505533501506,0.010324375702049395,3.9865678352129383
64,0.045259780716151,0.011094119782349478,3.9975434637999974
65,0.043912273831665516,0.010786110203499946,3.993757258783785
66,0.04824701743200421,0.012006085636313717,4.0054232573312785
67,0.04752296535298228,0.011764608079611452,4.004266566027262
68,0.04861051356419921,0.012137426296092244,4.0059734967843825
69,0.04589954670518637,0.011371133643318506,4.001703735699642
70,0.04845097614452243,0.012113951744279677,4.005979326606813
71,0.047825556714087725,0.011951537316144517,4.005649258335861
72,0.048548638354986906,0.012149320402957173,4.005979771731523
73,0.04753168672323227,0.011827079700901853,4.005248295981595
74,0.04714711103588343,0.011740735469241736,4.0047515549126365
75,0.04630024032667279,0.011466507049848135,4.002402681145231
76,0.049101595766842365,0.01234510718509304,4.005263288344766
77,0.04348653694614768,0.010704431544851374,3.993655880922012
78,0.045218758285045624,0.01116792183143623,3.998944733535351
79,0.0476215835660696,0.011840835895376775,4.004813105293703
80,0.04925120249390602,0.012344757184035047,4.005744537904275
81,0.04820905579254031,0.012041137943840789,4.00571208071274
82,0.049493635538965464,0.012418497449746638,4.005397266597465
83,0.04835905972868204,0.012085379724099178,4.005880598485786
84,0.04864221904426813,0.012160485585279738,4.005964366644748
85,0.04667992889881134,0.011566545198411252,4.002629074355865
86,0.04933945322409272,0.012368866646982203,4.005675974620011
87,0.04842188209295273,0.012037883019106155,4.005508391404388
88,0.04606682853773236,0.011413543434305624,4.002128489376306
89,0.0484482035972178,0.012126485421400681,4.005980040761776
90,0.048705548513680696,0.012231445020246586,4.005751586970388
91,0.04897226393222809,0.012281812565018632,4.005676377341784
