t,dobrushin,row_hetero,RV_t,VIX_t
0,0.0416591088287532,0.0099139522993153,,22.47
1,0.0335135767236352,0.0079391951023629,,25.22
2,0.0394446193240582,0.0093136074466737,,23.95
3,0.0321404514834284,0.007522228851237,,27.02
4,0.0412073326297104,0.0097967878523398,,26.05
5,0.0321426773443818,0.0075412501107512,,27.59
6,0.0362377660349011,0.0085375702265737,,26.69
7,0.0452143722213804,0.0108224643287734,,22.34
8,0.0369957266375422,0.0088014463520913,,24.15
9,0.0466658263467252,0.0112307615540545,,22.5
10,0.041557801887393,0.0098895277087937,,23.11
11,0.0443002912215888,0.0106042275136267,,22.42
12,0.0431358939968049,0.0102690816433592,,20.2
13,0.041374307591468,0.0098801990325001,,19.98
14,0.034492022357881,0.0081962250254621,,21.98
15,0.0372907593846321,0.0087755973617035,,21.65
16,0.0437423721887171,0.0104356598359868,,21.84
17,0.0389693956822156,0.0092621581998939,,23.38
18,0.0343174417503178,0.0081195894973697,,26.0
19,0.0377411306835711,0.0089353714777965,,26.54
20,0.0385591224767267,0.0091577440581789,0.0004680214931574,26.29
21,0.0305426430422812,0.0070886405859054,0.0008007959779714,28.14
22,0.042172584682703,0.0101278868419202,0.0008007393083332,25.4
23,0.0422671246342361,0.010043937239407,0.0007803681172672,24.11
24,0.0416837665252387,0.0099080574752054,0.0007959276058058,22.31
25,0.0392643641680479,0.00935151999948,0.000756902978884,21.64
26,0.0431572119705379,0.010311871820352,0.0007594220138798,20.53
27,0.0454750726930797,0.0109212594959721,0.0008098006598555,19.38
28,0.0304138525389134,0.0071557719376477,0.0007836280945916,20.98
29,0.0386514668352901,0.0091475422534878,0.0007636308298085,20.72
30,0.0466974209994077,0.0112505207647277,0.0007673908679076,19.11
31,0.0426551387645304,0.0101550456575472,0.0007901426772885,19.81
32,0.0378747875802218,0.0090198290920016,0.0008478890347386,20.55
33,0.0459700641222298,0.011086408645918,0.0008452905082115,17.7
34,0.0427454872988164,0.0101871923170356,0.0007908440713456,17.09
35,0.0445178747177124,0.0106847472771099,0.000790097206014,16.7
36,0.0431693787686526,0.0103214444561237,0.0007793227468404,16.86
37,0.045542936772108,0.0109802918709337,0.0007930129704319,17.35
38,0.0420512906275689,0.0100863401229283,0.0007677921143245,18.67
39,0.0468298704363405,0.0113194342006487,0.0007703381337602,18.34
40,0.0409959428943693,0.0097702819383656,0.0007635412981044,18.05
41,0.0445284973829984,0.0106650982083445,0.0006487030360703,16.5
