n_bins,n_st,method,model,alpha,tau,val_LL,delta_val
25,25,quantile,backoff,0.01,500.0,-3.2236254745546593,-0.004921661844059955
25,25,quantile,backoff,0.01,1000.0,-3.2207000490204614,-0.0019962363098620095
25,25,quantile,backoff,0.1,10.0,-3.4121687175536133,-0.19346490484301393
25,25,quantile,backoff,0.1,50.0,-3.2901918158539813,-0.071488003143382
25,25,quantile,backoff,0.1,100.0,-3.2544933606623427,-0.03578954795174338
25,25,quantile,backoff,0.1,200.0,-3.234286400176282,-0.01558258746568253
25,25,quantile,backoff,0.1,500.0,-3.22338618053164,-0.0046823678210405895
25,25,quantile,backoff,0.1,1000.0,-3.2206126968639657,-0.0019088841533663192
25,25,quantile,backoff,1.0,10.0,-3.314526689542478,-0.09582287683187873
25,25,quantile,backoff,1.0,50.0,-3.259850548800465,-0.041146736089865854
25,25,quantile,backoff,1.0,100.0,-3.2402454102538605,-0.021541597543261126
25,25,quantile,backoff,1.0,200.0,-3.2284630492885236,-0.009759236577924213
25,25,quantile,backoff,1.0,500.0,-3.221803445249618,-0.003099632539018682
25,25,quantile,backoff,1.0,1000.0,-3.220021585865529,-0.0013177731549296468
25,25,quantile,backoff,5.0,10.0,-3.241866861598322,-0.02316304888772258
25,25,quantile,backoff,5.0,50.0,-3.230025250872686,-0.01132143816208675
25,25,quantile,backoff,5.0,100.0,-3.2251097684134717,-0.00640595570287239
25,25,quantile,backoff,5.0,200.0,-3.2218863960264685,-0.0031825833158691808
25,25,quantile,backoff,5.0,500.0,-3.219861624807865,-0.0011578120972655093
25,25,quantile,backoff,5.0,1000.0,-3.2192435581955783,-0.0005397454849789263
25,25,quantile,backoff,10.0,10.0,-3.2286824767717635,-0.0099786640611641
25,25,quantile,backoff,10.0,50.0,-3.223872678447652,-0.005168865737052553
25,25,quantile,backoff,10.0,100.0,-3.221769266754668,-0.0030654540440684386
25,25,quantile,backoff,10.0,200.0,-3.2203184948387547,-0.001614682128155298
25,25,quantile,backoff,10.0,500.0,-3.2193386387791434,-0.0006348260685440366
25,25,quantile,backoff,10.0,1000.0,-3.219013359722741,-0.0003095470121414756
35,35,quantile,marginal,,,-3.5546694950265696,0.0
35,35,quantile,additive,1e-06,,-7.439256143090531,-3.8845866480639613
35,35,quantile,additive,0.0001,,-6.116121223224133,-2.5614517281975635
35,35,quantile,additive,0.001,,-5.454781367859086,-1.9001118728325164
35,35,quantile,additive,0.01,,-4.795663942113054,-1.240994447086484
35,35,quantile,additive,0.1,,-4.157992265007741,-0.6033227699811716
35,35,quantile,additive,1.0,,-3.6773198466214088,-0.12265035159483917
35,35,quantile,additive,5.0,,-3.5669936602850925,-0.012324165258522868
35,35,quantile,additive,10.0,,-3.5576189219834937,-0.0029494269569241283
35,35,quantile,backoff,1e-06,10.0,-3.9010477520346867,-0.3463782570081171
35,35,quantile,backoff,1e-06,50.0,-3.636026381721575,-0.0813568866950054
35,35,quantile,backoff,1e-06,100.0,-3.5857360135893,-0.031066518562730572
35,35,quantile,backoff,1e-06,200.0,-3.56359759029948,-0.008928095272910497
35,35,quantile,backoff,1e-06,500.0,-3.5552396667446073,-0.0005701717180377486
35,35,quantile,backoff,1e-06,1000.0,-3.5542349409850305,0.0004345540415391369
35,35,quantile,backoff,0.0001,10.0,-3.9009548938627954,-0.3462853988362258
35,35,quantile,backoff,0.0001,50.0,-3.636012298413685,-0.0813428033871153
35,35,quantile,backoff,0.0001,100.0,-3.585730754156739,-0.03106125913016955
35,35,quantile,backoff,0.0001,200.0,-3.563595920934683,-0.008926425908113433
35,35,quantile,backoff,0.0001,500.0,-3.5552394110840466,-0.0005699160574770268
35,35,quantile,backoff,0.0001,1000.0,-3.55423491206862,0.0004345829579497362
35,35,quantile,backoff,0.001,10.0,-3.9001129458929262,-0.34544345086635664
35,35,quantile,backoff,0.001,50.0,-3.6358844371855845,-0.08121494215901492
35,35,quantile,backoff,0.001,100.0,-3.585682998563824,-0.031013503537254294
35,35,quantile,backoff,0.001,200.0,-3.56358076297131,-0.008911267944740509
35,35,quantile,backoff,0.001,500.0,-3.555237090038164,-0.0005675950115944239
35,35,quantile,backoff,0.001,1000.0,-3.5542346497987425,0.00043484522782710755
35,35,quantile,backoff,0.01,10.0,-3.891906971032252,-0.33723747600568243
35,35,quantile,backoff,0.01,50.0,-3.6346223540816394,-0.07995285905506977
35,35,quantile,backoff,0.01,100.0,-3.585211073468437,-0.030541578441867223
35,35,quantile,backoff,0.01,200.0,-3.5634309568043814,-0.008761461777811785
35,35,quantile,backoff,0.01,500.0,-3.555214187557014,-0.0005446925304442019
35,35,quantile,backoff,0.01,1000.0,-3.554232086478854,0.00043740854771545656
35,35,quantile,backoff,0.1,10.0,-3.8264659236617686,-0.27179642863519904
35,35,quantile,backoff,0.1,50.0,-3.623473416862153,-0.06880392183558337
35,35,quantile,backoff,0.1,100.0,-3.581000108060255,-0.026330613033685335
35,35,quantile,backoff,0.1,200.0,-3.5620935941079135,-0.007424099081343893
35,35,quantile,backoff,0.1,500.0,-3.555012958012819,-0.00034346298624932103
35,35,quantile,backoff,0.1,1000.0,-3.554211726906974,0.0004577681195954142
35,35,quantile,backoff,1.0,10.0,-3.6318636736872576,-0.077194178660688
35,35,quantile,backoff,1.0,50.0,-3.5772694336143673,-0.02259993858779774
35,35,quantile,backoff,1.0,100.0,-3.5628763902278804,-0.008206895201310793
35,35,quantile,backoff,1.0,200.0,-3.5564150500533747,-0.001745555026805068
35,35,quantile,backoff,1.0,500.0,-3.554284149153792,0.00038534587277760934
35,35,quantile,backoff,1.0,1000.0,-3.5542200834359257,0.0004494115906439333
35,35,quantile,backoff,5.0,10.0,-3.5623187896666053,-0.00764929464003572
35,35,quantile,backoff,5.0,50.0,-3.5562662590079595,-0.0015967639813898593
35,35,quantile,backoff,5.0,100.0,-3.5547720930073745,-0.00010259798080491933
35,35,quantile,backoff,5.0,200.0,-3.5542757401562817,0.0003937548702879212
35,35,quantile,backoff,5.0,500.0,-3.5543223645690833,0.0003471304574862444
35,35,quantile,backoff,5.0,1000.0,-3.554452797854795,0.00021669717177452696
35,35,quantile,backoff,10.0,10.0,-3.556285526960667,-0.0016160319340974283
35,35,quantile,backoff,10.0,50.0,-3.554669373689476,1.2133709370587553e-07
35,35,quantile,backoff,10.0,100.0,-3.5543576153930907,0.00031187963347889536
35,35,quantile,backoff,10.0,200.0,-3.5543354794971904,0.00033401552937917245
35,35,quantile,backoff,10.0,500.0,-3.5544637797090908,0.00020571531747881622
35,35,quantile,backoff,10.0,1000.0,-3.554550625484696,0.00011886954187367849
40,40,quantile,marginal,,,-3.688670484499854,0.0
40,40,quantile,additive,1e-06,,-8.403465230275746,-4.714794745775892
40,40,quantile,additive,0.0001,,-6.756046087405104,-3.06737560290525
40,40,quantile,additive,0.001,,-5.932755039334341,-2.244084554834487
40,40,quantile,additive,0.01,,-5.113494460681914,-1.42482397618206
40,40,quantile,additive,0.1,,-4.332298991585865,-0.6436285070860106
40,40,quantile,additive,1.0,,-3.795816691741475,-0.10714620724162094
40,40,quantile,additive,5.0,,-3.6972238520508944,-0.008553367551040303
40,40,quantile,additive,10.0,,-3.6902633082727054,-0.001592823772851304
40,40,quantile,backoff,1e-06,10.0,-4.0674062233791135,-0.3787357388792594
40,40,quantile,backoff,1e-06,50.0,-3.770035816646885,-0.08136533214703068
40,40,quantile,backoff,1e-06,100.0,-3.7185716622256577,-0.029901177725803585
40,40,quantile,backoff,1e-06,200.0,-3.6970246308730417,-0.008354146373187543
40,40,quantile,backoff,1e-06,500.0,-3.6892181328051517,-0.0005476483052975212
40,40,quantile,backoff,1e-06,1000.0,-3.6883016972971436,0.0003687872027104966
40,40,quantile,backoff,0.0001,10.0,-4.0672786337774145,-0.37860814927756037
40,40,quantile,backoff,0.0001,50.0,-3.770017690184795,-0.0813472056849407
40,40,quantile,backoff,0.0001,100.0,-3.718565116143551,-0.02989463164369699
