n_bins,k,split,n_valid,marginal_LL,backoff_LL,delta_LL,alpha,tau
25,1,val,355,-3.2187038127105994,-3.219013359722741,-0.0003095470121414756,10.0,1000.0
25,1,test,356,-3.2187584288342745,-3.217956237200061,0.0008021916342135782,10.0,1000.0
25,2,val,355,-3.2187038127105994,-3.2187101766019155,-6.363891316141235e-06,10.0,1000.0
25,2,test,355,-3.218746172928526,-3.2187502625649436,-4.089636417514697e-06,10.0,1000.0
25,3,val,355,-3.2187038127105994,-3.2187135316529543,-9.718942354908222e-06,10.0,1000.0
25,3,test,354,-3.218733847780373,-3.2187403159007033,-6.468120330449523e-06,10.0,1000.0
25,5,val,355,-3.2187038127105994,-3.21871377421431,-9.96150371079807e-06,10.0,1000.0
25,5,test,352,-3.2187517086388238,-3.218757216274032,-5.507635208346073e-06,10.0,1000.0
25,10,val,355,-3.218703812710599,-3.218713912484587,-1.0099773988248018e-05,10.0,1000.0
25,10,test,347,-3.2187755931375195,-3.21877985149645,-4.258358930364636e-06,10.0,1000.0
35,1,val,355,-3.5546694950265696,-3.554211726906974,0.0004577681195954142,0.1,1000.0
35,1,test,356,-3.554691817837398,-3.5559503634561285,-0.001258545618730622,0.1,1000.0
35,2,val,355,-3.554669495026569,-3.554607124134432,6.237089213723124e-05,0.1,1000.0
35,2,test,355,-3.5546694950265696,-3.5546579408264356,1.1554200133989667e-05,0.1,1000.0
35,3,val,355,-3.5546694950265696,-3.5546695227409,-2.771433038617488e-08,0.1,1000.0
35,3,test,354,-3.554647046098167,-3.5546533171072157,-6.27100904848632e-06,0.1,1000.0
35,5,val,355,-3.5546694950265696,-3.5546702878154015,-7.927888319159138e-07,0.1,1000.0
35,5,test,352,-3.554661576410754,-3.5546678173399524,-6.240929198320089e-06,0.1,1000.0
35,10,val,355,-3.55449157889251,-3.554493418192121,-1.8392996108396176e-06,0.1,1000.0
35,10,test,347,-3.5547896439624425,-3.5547952655728263,-5.621610383865772e-06,0.1,1000.0
40,1,val,355,-3.688670484499854,-3.6882768731206332,0.00039361137922089284,0.1,1000.0
40,1,test,356,-3.688564659676893,-3.689787197938536,-0.0012225382616430913,0.1,1000.0
40,2,val,355,-3.688670484499854,-3.6886245560554767,4.592844437745214e-05,0.1,1000.0
40,2,test,355,-3.6886026040728734,-3.6885802411728856,2.2362899987804497e-05,0.1,1000.0
40,3,val,355,-3.6887383649268353,-3.6887496012655308,-1.1236338695486126e-05,0.1,1000.0
40,3,test,354,-3.688572690664374,-3.6885777314719967,-5.040807622869181e-06,0.1,1000.0
40,5,val,355,-3.6887383649268344,-3.688749488334567,-1.1123407732682722e-05,0.1,1000.0
40,5,test,352,-3.688512353959729,-3.6885179684069893,-5.614447260438027e-06,0.1,1000.0
40,10,val,355,-3.688806245353815,-3.6888178354284413,-1.1590074626255387e-05,0.1,1000.0
40,10,test,347,-3.6884973600679296,-3.6885026421085096,-5.282040580034675e-06,0.1,1000.0
55,1,val,355,-3.6822081673516465,-3.678257682089618,0.003950485262028458,1e-06,500.0
55,1,test,356,-3.6927491571126554,-3.6908087685213116,0.0019403885913438224,1e-06,500.0
55,2,val,355,-3.6826624438237308,-3.6817738730091536,0.0008885708145771609,1e-06,500.0
55,2,test,355,-3.692661451743195,-3.691943649162712,0.0007178025804832622,1e-06,500.0
55,3,val,355,-3.6826624438237308,-3.681826893748571,0.0008355500751595635,1e-06,500.0
55,3,test,354,-3.693314392853167,-3.6925887225374976,0.0007256703156692801,1e-06,500.0
55,5,val,355,-3.6789896138812583,-3.6781328499698747,0.0008567639113836734,1e-06,500.0
55,5,test,352,-3.6954867749209113,-3.694782999062848,0.0007037758580632492,1e-06,500.0
55,10,val,355,-3.6773312740235995,-3.676484180008688,0.0008470940149116757,1e-06,500.0
55,10,test,347,-3.697557226816252,-3.69688422542131,0.0006730013949423075,1e-06,500.0
