n_bins,add_delta_mean,add_CI_lo,add_CI_hi,add_CI_excludes_0,bk_delta_mean,bk_CI_lo,bk_CI_hi,bk_CI_excludes_0
25,0.0021520635526969256,-0.013126927992507389,0.017895686666649643,no,0.0008021916342140996,-0.0001942804103756453,0.001873548662938551,no
35,-0.007877995230131394,-0.018709797366784853,0.0027227302358207818,no,-0.001258545618730869,-0.005193772568055446,0.002617598866817993,no
40,-0.006466772867234259,-0.016743809098817043,0.002876562437317163,no,-0.001222538261643574,-0.005251843626058728,0.002545046468314814,no
55,-0.1988139202058162,-0.2605486145015692,-0.1385515854323326,YES,0.0019403885913438848,-0.0055776591580307035,0.009596596300121319,no
