model,n_bins,k,alpha,tau,val_LL,test_LL,delta_test,CI_lo,CI_hi
marginal,25,1,-,-,-3.2187038127105994,-3.2187584288342745,0.0,-,-
additive,25,1,10.0,-,-3.231258677453596,-3.2166063652815784,0.0021520635526961485,-0.013126927992507389,0.017895686666649643
backoff,25,1,10.0,1000.0,-3.219013359722741,-3.217956237200061,0.0008021916342135782,-0.0001942804103756453,0.001873548662938551
marginal,35,1,-,-,-3.5546694950265696,-3.554691817837398,0.0,-,-
additive,35,1,10.0,-,-3.5576189219834937,-3.5625698130675296,-0.007877995230131773,-0.018709797366784853,0.0027227302358207818
backoff,35,1,0.1,1000.0,-3.554211726906974,-3.5559503634561285,-0.001258545618730622,-0.005193772568055446,0.002617598866817993
marginal,40,1,-,-,-3.688670484499854,-3.688564659676893,0.0,-,-
additive,40,1,10.0,-,-3.6902633082727054,-3.695031432544127,-0.00646677286723385,-0.016743809098817043,0.002876562437317163
backoff,40,1,0.1,1000.0,-3.6882768731206332,-3.689787197938536,-0.0012225382616430913,-0.005251843626058728,0.002545046468314814
marginal,55,1,-,-,-3.6822081673516465,-3.6927491571126554,0.0,-,-
additive,55,1,1.0,-,-3.882288811946156,-3.891563077318472,-0.19881392020581679,-0.2605486145015692,-0.1385515854323326
backoff,55,1,1e-06,500.0,-3.678257682089618,-3.6908087685213116,0.0019403885913438224,-0.0055776591580307035,0.009596596300121319
backoff,25,2,10.0,1000.0,-3.2187101766019155,-3.2187502625649436,-4.089636417514697e-06,-,-
backoff,25,3,10.0,1000.0,-3.2187135316529543,-3.2187403159007033,-6.468120330449523e-06,-,-
backoff,25,5,10.0,1000.0,-3.21871377421431,-3.218757216274032,-5.507635208346073e-06,-,-
backoff,25,10,10.0,1000.0,-3.218713912484587,-3.21877985149645,-4.258358930364636e-06,-,-
backoff,35,2,0.1,1000.0,-3.554607124134432,-3.5546579408264356,1.1554200133989667e-05,-,-
backoff,35,3,0.1,1000.0,-3.5546695227409,-3.5546533171072157,-6.27100904848632e-06,-,-
backoff,35,5,0.1,1000.0,-3.5546702878154015,-3.5546678173399524,-6.240929198320089e-06,-,-
backoff,35,10,0.1,1000.0,-3.554493418192121,-3.5547952655728263,-5.621610383865772e-06,-,-
backoff,40,2,0.1,1000.0,-3.6886245560554767,-3.6885802411728856,2.2362899987804497e-05,-,-
backoff,40,3,0.1,1000.0,-3.6887496012655308,-3.6885777314719967,-5.040807622869181e-06,-,-
backoff,40,5,0.1,1000.0,-3.688749488334567,-3.6885179684069893,-5.614447260438027e-06,-,-
backoff,40,10,0.1,1000.0,-3.6888178354284413,-3.6885026421085096,-5.282040580034675e-06,-,-
backoff,55,2,1e-06,500.0,-3.6817738730091536,-3.691943649162712,0.0007178025804832622,-,-
backoff,55,3,1e-06,500.0,-3.681826893748571,-3.6925887225374976,0.0007256703156692801,-,-
backoff,55,5,1e-06,500.0,-3.6781328499698747,-3.694782999062848,0.0007037758580632492,-,-
backoff,55,10,1e-06,500.0,-3.676484180008688,-3.69688422542131,0.0006730013949423075,-,-
