model,h,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,42,,,,
state_free,1,42,,,,
state_cond,2,42,,,,
state_free,2,42,,,,
state_cond,5,42,,,,
state_free,5,42,,,,
state_cond,10,42,,,,
state_free,10,42,,,,
state_cond,1,42,3.8717386722564697,3.894688844680786,4.003503799438477,-0.0038293857939946108
state_free,1,42,3.890080690383911,3.8935892581939697,4.005430221557617,-0.0019029636748539858
state_cond,2,42,3.8603005409240723,3.9052951335906982,4.027429103851318,0.020095918618847186
state_free,2,42,3.855985164642334,3.9049251079559326,4.0343918800354,0.027058694802929217
state_cond,5,42,3.8417255878448486,3.914240598678589,4.030872344970703,0.023539159738231952
state_free,5,42,3.8763043880462646,3.9157912731170654,4.0152997970581055,0.007966611825634295
state_cond,10,42,3.9045522212982178,3.9397473335266113,4.007266521453857,-6.666377861375139e-05
state_free,10,42,3.916158437728882,3.9409432411193848,4.006438255310059,-0.0008949299224125795
