date,sigma_t_w5,X_t_vol_w5,sigma_t_w10,X_t_vol_w10,sigma_t_w21,X_t_vol_w21
1999-07-06,0.00879946457793951,13,0.014887002617612985,25,0.015735506334053607,25
1999-07-07,0.007644453074543776,10,0.015023070496540385,26,0.015524340571710782,24
1999-07-08,0.007648214403349765,10,0.013110775468947697,21,0.01533762547228723,24
1999-07-09,0.007227725817524416,9,0.010446595930497016,14,0.015748526833623617,25
1999-07-12,0.007240500722151461,9,0.00964576084548703,12,0.01570338031409102,24
1999-07-13,0.006764760779548512,7,0.01025490255914315,14,0.016027689957283875,25
1999-07-14,0.007167736497410367,8,0.008143222643905396,8,0.015171594419150353,24
1999-07-15,0.008883753469695851,13,0.008580461666149649,9,0.014701560752571065,23
1999-07-16,0.008788979145603967,13,0.007716536530038786,7,0.013067195722584905,20
1999-07-19,0.013457751600141952,24,0.010249709814593534,14,0.01265589043257352,18
1999-07-20,0.018650986374339526,34,0.013268989978049246,21,0.01431828812352704,22
1999-07-21,0.0217665517054236,38,0.016158018687186203,28,0.01600032169488284,25
1999-07-22,0.019635714528712163,36,0.01592363198170725,27,0.016000542599444903,25
1999-07-23,0.014300335503635051,26,0.015937561339405146,27,0.015777687940297984,25
1999-07-26,0.021484389703204928,38,0.017670759452931777,30,0.015506159809080733,24
1999-07-27,0.019544809874494615,36,0.018026792549853517,31,0.014933995754288993,23
1999-07-28,0.010590609186408471,17,0.017893026306952588,31,0.014491876641659818,22
1999-07-29,0.015555359319599192,29,0.017800699178741226,30,0.014362784542447025,22
1999-07-30,0.01959101570829356,36,0.017429030210118063,30,0.015341894103500566,24
1999-08-02,0.014383402705316446,26,0.017244517363255794,30,0.014653091914852484,23
1999-08-03,0.009976388147690028,16,0.01603351608623715,28,0.014711992288143797,23
1999-08-04,0.006895927277665973,8,0.014365628517880757,24,0.0145754280956489,22
1999-08-05,0.009557346910776766,15,0.014072212210751946,23,0.014551080813158984,22
1999-08-06,0.015871754612105687,29,0.018149863855147857,31,0.016389299339439868,26
1999-08-09,0.020269338532400195,37,0.0166431992468335,29,0.016896707629165838,27
1999-08-10,0.02069671939114967,37,0.01538634861121088,26,0.016719834439020254,27
1999-08-11,0.02483185889491184,41,0.01882779457044744,32,0.01796950907050676,29
1999-08-12,0.025068504462979473,42,0.01847774363927829,32,0.017845882420170833,29
1999-08-13,0.01935565037048439,35,0.02228058155923524,37,0.019797519516178162,32
1999-08-16,0.020035567605015275,36,0.02216016514543222,37,0.019358571330037346,31
1999-08-17,0.021774985245458987,38,0.024894092859704918,41,0.021288431605428662,35
1999-08-18,0.021568056368231475,38,0.02381686628187199,39,0.020802081954561156,34
1999-08-19,0.022054909324625283,39,0.02446826696314923,40,0.01984854259940185,32
1999-08-20,0.018713169024350412,34,0.017949299882322075,31,0.020261654135214587,33
1999-08-23,0.018106849073379068,33,0.018330056879424482,31,0.020761807687907804,34
1999-08-24,0.013749691720915197,25,0.017601537513233054,30,0.020377267340684943,33
1999-08-25,0.01574226627959888,29,0.01848190321796143,32,0.020386324364251373,33
1999-08-26,0.02206656916272816,39,0.021873678699385234,37,0.021505490522156785,35
1999-08-27,0.020086113166603303,36,0.0194802453149866,33,0.021057914863863568,34
1999-08-30,0.02569720040153815,42,0.027191929957813304,43,0.023602686905787623,38
1999-08-31,0.02633908076385483,43,0.024235460828945888,40,0.023666129716640914,38
1999-09-01,0.026327397254154485,43,0.023599373686395093,39,0.023608055160009075,38
1999-09-02,0.025105337854627797,42,0.02352494179684736,39,0.02335304232024966,37
1999-09-03,0.04073577461602367,50,0.0302807111685964,45,0.02655848242525391,42
1999-09-07,0.03168991586791811,46,0.029679732839496844,45,0.025192872109518528,40
1999-09-08,0.0331929683869031,47,0.029516529571690858,45,0.025587286725661323,40
1999-09-09,0.03444521617137147,48,0.029790630253719582,45,0.026078821104065033,41
1999-09-10,0.03645454302236665,48,0.03078617936497477,46,0.02623579833293716,41
1999-09-13,0.021188408809727485,38,0.030783499219095414,46,0.02608428843373943,41
1999-09-14,0.026047755983883772,43,0.02867927090836283,44,0.026534709152861463,42
1999-09-15,0.02581553628048891,42,0.028507374623509038,44,0.0266838045637941,42
1999-09-16,0.02580572259726268,42,0.028707637589961088,44,0.025225631123431957,40
1999-09-17,0.020936347863491803,37,0.028831064625082888,44,0.02508181427641683,40
1999-09-20,0.020922206067295196,37,0.019865959349515558,34,0.025027307021994218,40
1999-09-21,0.013482263613125824,24,0.019838613568029143,34,0.024839208587862312,39
1999-09-22,0.013196361326363556,24,0.019576713912921945,33,0.024007298391715236,38
1999-09-23,0.018571536412038264,34,0.021307850910913285,36,0.024835123290434188,39
1999-09-24,0.03287565120189374,47,0.027714888280233916,43,0.028612012711467554,44
1999-09-27,0.037666337147639166,49,0.029418869101463407,45,0.028588879218460404,44
1999-09-28,0.034681655438515493,48,0.02594096396684021,42,0.02868990378372423,44
1999-09-29,0.03769991096666911,49,0.027258629784357585,43,0.026792182547802183,42
