date,sigma_t_w5,X_t_vol_w5,sigma_t_w10,X_t_vol_w10,sigma_t_w21,X_t_vol_w21
1999-07-06,0.03334625410305004,48,0.029631773216133424,46,0.030835769257316466,46
1999-07-07,0.03904267999035843,50,0.03113640399735873,47,0.03198788256604491,47
1999-07-08,0.014264739827845426,24,0.027411532118737824,44,0.0311254698163772,47
1999-07-09,0.015018920111911402,26,0.02742404583166902,44,0.03061969072702546,46
1999-07-12,0.018965972454803106,34,0.027337999547416565,44,0.029746220616269196,46
1999-07-13,0.018957511730565334,34,0.027542005989984308,44,0.02982289004951285,46
1999-07-14,0.010757840295402794,14,0.027027860519100055,44,0.028769150995545254,45
1999-07-15,0.009311301927899309,9,0.014217145309337249,21,0.02842469425265858,45
1999-07-16,0.009245127303760616,9,0.013507817042124295,19,0.02722434421387398,44
1999-07-19,0.010616141597346506,13,0.015477081865943012,24,0.027455350936046823,44
1999-07-20,0.014145521752590592,24,0.016354690714026895,27,0.02786112642148775,44
1999-07-21,0.014144448313448828,24,0.01188836838312111,13,0.022857001269250252,39
1999-07-22,0.01662987402644191,30,0.01312330623105202,17,0.022798752980050116,39
1999-07-23,0.02138875020182308,38,0.017264852727932614,29,0.022138607235892206,38
1999-07-26,0.012109678574509413,18,0.015635419507148873,25,0.0222944382776799,38
1999-07-27,0.02697010402159554,44,0.020774977696976282,36,0.02334240961982521,39
1999-07-28,0.02794897793069675,45,0.021113497451959316,36,0.023399106160630085,39
1999-07-29,0.027440198524268163,44,0.021390784856255098,37,0.0232691306618947,39
1999-07-30,0.02159834415741132,38,0.021361286985239505,37,0.01729517209242444,28
1999-08-02,0.023700998528045292,40,0.019941716905768708,34,0.017454409038301175,29
1999-08-03,0.015242981312906214,26,0.0209901746214789,36,0.018271899633296375,31
1999-08-04,0.008585302905415947,7,0.020832496608939297,36,0.01831997503349794,31
1999-08-05,0.009031472596043071,8,0.020636906099784188,36,0.01721923126160286,28
1999-08-06,0.01572823350859796,27,0.022895971077676783,39,0.019736710217056374,33
1999-08-09,0.017863170494393166,32,0.02294848008570081,39,0.019646287412291494,33
1999-08-10,0.025583044362278023,42,0.0198825784871204,34,0.019962587453942138,34
1999-08-11,0.04820259959828586,52,0.03518014334032842,49,0.02761374765776935,44
1999-08-12,0.04827135023074617,52,0.03510565382212296,49,0.027680812743404594,44
1999-08-13,0.03769075587197229,50,0.037969104050585435,50,0.02932251425073832,45
1999-08-16,0.036919951337028335,50,0.03720296997479391,50,0.029301068600018715,45
1999-08-17,0.038340090167174705,50,0.035408970341521566,49,0.028834419758922928,45
1999-08-18,0.021719175747432536,38,0.035283130238164075,49,0.028683514969432906,45
1999-08-19,0.021507718015047552,38,0.03525882871560325,49,0.028738894903335428,45
1999-08-20,0.009994472476303121,11,0.029491947342482436,46,0.02870733849432706,45
1999-08-23,0.014403118143018007,24,0.02889197546194311,45,0.02805007209632697,44
1999-08-24,0.014610882687171282,25,0.029186179903231847,46,0.027909340050908272,44
1999-08-25,0.013010066243883418,21,0.016934507586781312,28,0.026818697447645725,43
1999-08-26,0.015682398999153135,27,0.017751389438723158,30,0.027029465795769248,44
1999-08-27,0.017636908905106646,32,0.013515260657758113,19,0.02710991828985045,44
1999-08-30,0.017379349990656344,31,0.01732069017429613,29,0.02808413139127832,44
1999-08-31,0.019742356950735968,35,0.017751982174602846,30,0.027815681775045113,44
1999-09-01,0.01961206674236278,35,0.018086041712980665,31,0.027028979547756633,44
1999-09-02,0.019437452023179154,35,0.01847404396739219,31,0.027149452708113406,44
1999-09-03,0.038429305926810084,50,0.02849463035830231,45,0.03050685466749183,46
1999-09-07,0.03251448980260427,48,0.027825847046137792,45,0.028095495501177126,44
1999-09-08,0.03282586363254289,48,0.027830106524648304,45,0.02795464807574384,44
1999-09-09,0.03435543309344723,49,0.027823203720028767,45,0.02800689125735765,44
1999-09-10,0.032273716398380455,47,0.028197016487588173,45,0.022639774354186248,38
1999-09-13,0.01524021182617861,26,0.027939584368832645,45,0.022713906418739487,38
1999-09-14,0.0241944454282999,41,0.029178873100460846,46,0.022972122662199484,39
1999-09-15,0.023519015102670654,40,0.02956712318545309,46,0.023211455333334293,39
1999-09-16,0.023559223929143547,40,0.029428841830060525,46,0.023231578424303595,39
1999-09-17,0.031154025843922305,47,0.0321638381041637,48,0.025149973717535603,42
1999-09-20,0.032165316552059606,47,0.02373411120456677,40,0.025177872584584197,42
1999-09-21,0.027272224453078822,44,0.024806866072530912,41,0.02563926449917417,42
1999-09-22,0.02950151626917223,46,0.028196368213528243,45,0.026580301354790715,43
1999-09-23,0.029061159956866835,45,0.028021535525978677,45,0.02661944156141596,43
1999-09-24,0.024590622207013215,41,0.02774247900004593,45,0.02689180667348104,43
1999-09-27,0.024937249542206285,42,0.02738005417374789,44,0.026592061966804473,43
1999-09-28,0.018632183140494838,33,0.022775333490448885,39,0.02636371070182939,43
1999-09-29,0.013595102975701347,22,0.022281261026018767,38,0.025168382433285633,42
1999-09-30,0.013437867451254578,22,0.022018636473065047,38,0.025197738584395845,42
1999-10-01,0.014700155305230011,25,0.020745013421722712,36,0.026015879829047038,43
1999-10-04,0.027432999272940007,44,0.024742868115972837,41,0.027302814166897324,44
1999-10-05,0.027252327247922644,44,0.022655226850737436,39,0.023259062313479795,39
1999-10-06,0.028405910894950214,45,0.021418415172357173,37,0.0239522021391758,40
1999-10-07,0.029269841567684293,45,0.021761952826062733,37,0.02414933581243694,40
1999-10-08,0.02075239279291221,37,0.02137029115289809,37,0.02405131783032199,40
1999-10-11,0.01564940198772888,27,0.021275571631849073,36,0.02364208305438021,40
1999-10-12,0.017460096356527278,31,0.021603594835913866,37,0.023533160441537842,40
1999-10-13,0.015462159567407693,27,0.02355295722028134,40,0.022396438670061577,38
1999-10-14,0.019006428395831634,34,0.023984577918015122,40,0.022158589116069792,38
1999-10-15,0.021251191893855575,37,0.025015400867037307,41,0.02361404716465094,40
1999-10-18,0.020849852378100445,37,0.020510162974639538,35,0.021912022663822105,37
1999-10-19,0.0257049004688019,43,0.021419847742314927,37,0.022176411042227232,38
1999-10-20,0.024992582923023803,42,0.02061394554882239,35,0.02182693008995341,37
1999-10-21,0.023803977794039442,41,0.020380108861244084,35,0.020327489965972924,34
1999-10-22,0.026170494292623202,43,0.028126293456746238,45,0.023935744803168048,40
1999-10-25,0.030407819601057026,46,0.029246221528239427,46,0.024366653756713676,41
1999-10-26,0.03752419641057311,50,0.03112064366027344,47,0.025565765127562354,42
1999-10-27,0.04051356252548144,51,0.0319086112957996,48,0.027011080792183756,44
1999-10-28,0.06268954063763443,53,0.047944359114399905,52,0.036821512496494846,49
1999-10-29,0.06334818549704985,53,0.04569728865723169,51,0.036991593546407756,49
1999-11-01,0.06334602777076875,53,0.04685472553159958,52,0.036673339382935745,49
1999-11-02,0.0574239992433022,53,0.046982486252846976,52,0.03583566472720743,49
1999-11-03,0.058997680276791094,53,0.047801674909978435,52,0.036112947024612964,49
