model,h,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,42,,,,
state_free,1,42,,,,
state_cond,2,42,,,,
state_free,2,42,,,,
state_cond,5,42,,,,
state_free,5,42,,,,
state_cond,10,42,,,,
state_free,10,42,,,,
state_cond,1,42,3.862830877304077,3.8618433475494385,3.968777656555176,-0.03855552867729539
state_free,1,42,3.8612427711486816,3.8629870414733887,3.967465877532959,-0.03986730769951219
state_cond,2,42,3.8503592014312744,3.8690526485443115,3.990278482437134,-0.017054702795337384
state_free,2,42,3.8533499240875244,3.8699357509613037,4.001692771911621,-0.0056404133208500795
state_cond,5,42,3.8161776065826416,3.889479875564575,4.001953601837158,-0.00537958339531297
state_free,5,42,3.8503355979919434,3.88973069190979,3.998771905899048,-0.008561279333423322
state_cond,10,42,3.8842837810516357,3.9264016151428223,4.001499176025391,-0.005834009207080548
state_free,10,42,3.910771369934082,3.919396162033081,4.003700256347656,-0.0036329288848149233
