n_features,train_nll,val_nll,test_nll,gen_gap
15,3.8650410175323486,3.969693183898926,4.103020668029785,0.23797965049743652
30,3.883516311645508,3.994162082672119,4.006007194519043,0.12249088287353516
50,3.888861656188965,3.9895620346069336,4.052287578582764,0.16342592239379883
194,3.928865432739258,3.9952075481414795,4.005011081695557,0.07614564895629883
