seed,train_nll,val_nll,test_nll
0,3.883516311645508,3.994162082672119,4.006007194519043
1,3.9041996002197266,3.976283073425293,4.029585361480713
2,4.008068084716797,4.006584644317627,4.007424354553223
3,3.9133458137512207,3.9899144172668457,4.02231502532959
4,4.0085272789001465,4.011642932891846,4.010779857635498
