budget,max_epochs,patience,sigma_anchor,train_nll,val_nll,test_nll
A_orig,100,10,1.0,3.883516311645508,3.994162082672119,4.006007194519043
B_ext,200,25,1.0,3.883516311645508,3.994162082672119,4.006007194519043
