n_features,sigma_anchor,train_nll,val_nll,test_nll,gen_gap
30,1.0,3.883516311645508,3.994162082672119,4.006007194519043,0.12249088287353516
50,1.0,3.888861656188965,3.9895620346069336,4.052287578582764,0.16342592239379883
194,1.0,3.9296700954437256,3.997910976409912,4.007802486419678,0.07813239097595215
