ticker,model,vol_window,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
BAC,state_cond_macro,,1,35,42,3.359422445297241,3.454720973968506,3.555460929870605,0.0001128683811919
BAC,state_cond_macro,,1,35,7,3.3646130561828613,3.4530489444732666,3.541625499725342,-0.0137225617640717
BAC,state_cond_macro,,1,35,123,3.367257595062256,3.451033592224121,3.534527540206909,-0.0208205212825043
BAC,state_cond_macro,,2,35,42,3.3590009212493896,3.488431930541992,3.5535452365875244,-0.001802824901889
BAC,state_cond_macro,,2,35,7,3.359776258468628,3.489694833755493,3.5570287704467773,0.0016807089573638
BAC,state_cond_macro,,2,35,123,3.363567352294922,3.4849119186401367,3.5380091667175293,-0.0173388947718842
BAC,state_cond_macro,,3,35,42,3.3591551780700684,3.494807720184326,3.5593440532684326,0.0039959917790191
BAC,state_cond_macro,,3,35,7,3.3588428497314453,3.492981672286988,3.561488389968872,0.0061403284794585
BAC,state_cond_macro,,3,35,123,3.363304376602173,3.4960179328918457,3.5466318130493164,-0.0087162484400971
BAC,state_cond_macro,,5,35,42,3.3876428604125977,3.5458905696868896,3.5389742851257324,-0.016373776363681
BAC,state_cond_macro,,5,35,7,3.391163349151612,3.54552960395813,3.5448431968688965,-0.010504864620517
BAC,state_cond_macro,,5,35,123,3.376084089279175,3.549111604690552,3.534132957458496,-0.0212151040309174
BAC,state_cond_macro,,1,45,42,3.608234167098999,3.702420473098755,3.800493001937866,-0.0061694878324534
BAC,state_cond_macro,,1,45,7,3.6054728031158447,3.7014451026916495,3.8036317825317374,-0.0030307072385813
BAC,state_cond_macro,,1,45,123,3.608013391494751,3.701078176498413,3.796480655670166,-0.0101818341001536
BAC,state_cond_macro,,2,45,42,3.6018826961517334,3.7489726543426514,3.811876058578491,0.0052135688081715
BAC,state_cond_macro,,2,45,7,3.60415244102478,3.751783609390259,3.813349962234497,0.0066874724641774
BAC,state_cond_macro,,2,45,123,3.62352991104126,3.745570659637451,3.787743091583252,-0.0189193981870676
BAC,state_cond_macro,,3,45,42,3.608289957046509,3.740248680114746,3.80694031715393,0.000277827383611
BAC,state_cond_macro,,3,45,7,3.6145761013031006,3.746637105941773,3.807503461837769,0.0008409720674489
BAC,state_cond_macro,,3,45,123,3.621081352233887,3.746007680892944,3.798230886459351,-0.008431603310969
BAC,state_cond_macro,,5,45,42,3.635429859161377,3.794893264770508,3.789849042892456,-0.0168134468778635
BAC,state_cond_macro,,5,45,7,3.637035608291626,3.7929646968841553,3.795278310775757,-0.0113841789945627
BAC,state_cond_macro,,5,45,123,3.632678747177124,3.800464630126953,3.789557218551636,-0.0171052712186838
BAC,state_cond_macro,,1,55,42,3.8070883750915527,3.9043233394622803,4.001994609832764,-0.005338575399707501
BAC,state_cond_macro,,1,55,7,3.8015918731689453,3.9046196937561035,4.004158973693848,-0.003174211538623517
BAC,state_cond_macro,,1,55,123,3.804910182952881,3.9008066654205322,4.004650592803955,-0.002682592428516095
BAC,state_cond_macro,,2,55,42,3.8103761672973633,3.9406094551086426,3.988783836364746,-0.01854934886772508
BAC,state_cond_macro,,2,55,7,3.8046956062316895,3.93947434425354,3.998096466064453,-0.009236719168018048
BAC,state_cond_macro,,2,55,123,3.801114559173584,3.939502716064453,4.004064083099365,-0.003269102133105939
BAC,state_cond_macro,,3,55,42,3.8010027408599854,3.945622444152832,4.009822368621826,0.0024891833893549986
BAC,state_cond_macro,,3,55,7,3.798410415649414,3.945796489715576,4.009847164154053,0.002513978921581561
BAC,state_cond_macro,,3,55,123,3.8051209449768066,3.939382314682007,4.006336688995361,-0.0009964962371098451
BAC,state_cond_macro,,5,55,42,3.8185393810272217,4.002487659454346,3.997056007385254,-0.010277177847217267
BAC,state_cond_macro,,5,55,7,3.833984851837158,3.997066020965576,3.9894487857818604,-0.01788439945061082
BAC,state_cond_macro,,5,55,123,3.826355457305908,3.995924234390259,3.9876468181610107,-0.01968636707146043
