ticker,model,vol_window,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
BAC,state_cond_vol_w21,21,1,35,42,3.323732376098633,3.4478542804718018,3.538156032562256,-0.0171920289271576
BAC,state_cond_vol_w21,21,1,35,7,3.3214828968048096,3.4515023231506348,3.544816732406616,-0.0105313290827973
BAC,state_cond_vol_w21,21,1,35,123,3.319826364517212,3.451444864273072,3.536516666412353,-0.0188313950770599
BAC,state_cond_vol_w21,21,2,35,42,3.360651969909668,3.492583513259888,3.5451762676239014,-0.0101717938655121
BAC,state_cond_vol_w21,21,2,35,7,3.3345935344696045,3.493290662765503,3.53888201713562,-0.0164660443537933
BAC,state_cond_vol_w21,21,2,35,123,3.3419265747070312,3.496152400970459,3.548946142196656,-0.0064019192927582
BAC,state_cond_vol_w21,21,3,35,42,3.358757257461548,3.499685287475586,3.5514228343963623,-0.0039252270930512
BAC,state_cond_vol_w21,21,3,35,7,3.3161418437957764,3.497788190841675,3.5366029739379883,-0.0187450875514252
BAC,state_cond_vol_w21,21,3,35,123,3.3436942100524902,3.49904727935791,3.547858238220215,-0.0074898232691986
BAC,state_cond_vol_w21,21,5,35,42,3.3739447593688965,3.532144069671631,3.547614574432373,-0.0077334870570404
BAC,state_cond_vol_w21,21,5,35,7,3.3745718002319336,3.5273263454437256,3.544660806655884,-0.0106872548335297
BAC,state_cond_vol_w21,21,5,35,123,3.3703670501708984,3.5224931240081787,3.5440826416015625,-0.011265419887851
BAC,state_cond_vol_w21,21,1,45,42,3.571628332138061,3.69598913192749,3.786197662353516,-0.020464827416804
BAC,state_cond_vol_w21,21,1,45,7,3.570546388626098,3.700097560882568,3.7914223670959473,-0.0152401226743723
BAC,state_cond_vol_w21,21,1,45,123,3.557336807250977,3.702315092086792,3.78976845741272,-0.0168940323575998
BAC,state_cond_vol_w21,21,2,45,42,3.589296579360962,3.746950626373291,3.7940073013305664,-0.0126551884397532
BAC,state_cond_vol_w21,21,2,45,7,3.559706211090088,3.75551962852478,3.8023078441619873,-0.0043546456083323
BAC,state_cond_vol_w21,21,2,45,123,3.6002719402313232,3.74340558052063,3.8008530139923096,-0.00580947577801
BAC,state_cond_vol_w21,21,3,45,42,3.569650173187256,3.750733375549317,3.7914516925811768,-0.0152107971891428
BAC,state_cond_vol_w21,21,3,45,7,3.553170919418335,3.7560107707977295,3.795511245727539,-0.0111512440427805
BAC,state_cond_vol_w21,21,3,45,123,3.5704634189605717,3.7505054473876953,3.801233291625977,-0.005429198144343
BAC,state_cond_vol_w21,21,5,45,42,3.5874834060668945,3.788243532180786,3.790325164794922,-0.0163373249753977
BAC,state_cond_vol_w21,21,5,45,7,3.5834009647369385,3.792600154876709,3.788670063018799,-0.0179924267515207
BAC,state_cond_vol_w21,21,5,45,123,3.566688776016236,3.792771816253662,3.7950901985168457,-0.0115722912534739
BAC,state_cond_vol_w21,21,1,55,42,3.7535862922668457,3.901028871536255,3.9963831901550293,-0.010949995077441876
BAC,state_cond_vol_w21,21,1,55,7,3.7586002349853516,3.905940055847168,4.00183629989624,-0.005496885336230939
BAC,state_cond_vol_w21,21,1,55,123,3.7634670734405518,3.8993778228759766,3.9861464500427246,-0.021186735189746564
BAC,state_cond_vol_w21,21,2,55,42,3.7673768997192383,3.9453928470611572,3.997278928756714,-0.010054256475757306
BAC,state_cond_vol_w21,21,2,55,7,3.7898552417755127,3.942415475845337,3.989928722381592,-0.017404462850879376
BAC,state_cond_vol_w21,21,2,55,123,3.7835044860839844,3.9464333057403564,3.9988887310028076,-0.008444454229663556
BAC,state_cond_vol_w21,21,3,55,42,3.7874672412872314,3.9535953998565674,3.9960930347442627,-0.011240150488208478
BAC,state_cond_vol_w21,21,3,55,7,3.784217119216919,3.950033187866211,3.9840292930603027,-0.02330389217216844
BAC,state_cond_vol_w21,21,3,55,123,3.780752182006836,3.9504683017730713,3.9981350898742676,-0.009198095358203595
BAC,state_cond_vol_w21,21,5,55,42,3.798053741455078,3.9900636672973633,3.994885206222534,-0.012447979009936994
BAC,state_cond_vol_w21,21,5,55,7,3.794121265411377,3.991581678390503,3.9892735481262207,-0.01805963710625047
BAC,state_cond_vol_w21,21,5,55,123,3.7683374881744385,3.988588571548462,3.992570638656616,-0.014762546575854962
