h,N,model,test_ll,nll_model,H_irr,H_marginal,MIR
1,10,additive,-2.299062416541771,2.299062416541771,2.112357663755399,2.302580715393574,-0.08838690340652067
1,10,backoff,-2.3011589159289856,2.3011589159289856,2.112357663755399,2.302580715393574,-0.08937939602421845
1,10,marginal,-2.302735338378945,2.302735338378945,2.112357663755399,2.302580715393574,-0.0901256817868089
1,10,state_cond_nn,-2.321913957595825,2.321913957595825,2.112357663755399,2.302580715393574,-0.09920492984501128
1,10,state_free_nn,-2.3070850372314453,2.3070850372314453,2.112357663755399,2.302580715393574,-0.09218484957223368
1,20,additive,-2.99860631817626,2.99860631817626,2.593342136694762,2.995720576336173,-0.15627100479615505
1,20,backoff,-2.995805603536545,2.995805603536545,2.593342136694762,2.995720576336173,-0.15519104137748918
1,20,marginal,-2.995907233292181,2.995907233292181,2.593342136694762,2.995720576336173,-0.15523023009624634
1,20,state_cond_nn,-3.0229251384735107,3.0229251384735107,2.593342136694762,2.995720576336173,-0.1656484100961149
1,20,state_free_nn,-3.0188302993774414,3.0188302993774414,2.593342136694762,2.995720576336173,-0.16406942865817464
1,35,additive,-3.555118482906361,3.555118482906361,2.865977222830256,3.5553000520416345,-0.24045594451569052
1,35,backoff,-3.5547973992173336,3.5547973992173336,2.865977222830256,3.5553000520416345,-0.24034391163333907
1,35,marginal,-3.5549157285832966,3.5549157285832966,2.865977222830256,3.5553000520416345,-0.24038519924896296
1,35,state_cond_nn,-3.552258014678955,3.552258014678955,2.865977222830256,3.5553000520416345,-0.23945786672057776
1,35,state_free_nn,-3.5540435314178467,3.5540435314178467,2.865977222830256,3.5553000520416345,-0.24008087123180286
1,55,additive,-4.0000226445698255,4.0000226445698255,3.0543332563739214,4.007280038400756,-0.30962220190687983
1,55,backoff,-4.007163765432223,4.007163765432223,3.0543332563739214,4.007280038400756,-0.3119602312779365
1,55,marginal,-4.0074623659162665,4.0074623659162665,3.0543332563739214,4.007280038400756,-0.3120579941803377
1,55,state_cond_nn,-4.021202405293782,4.021202405293782,3.0543332563739214,4.007280038400756,-0.31655653386943106
1,55,state_free_nn,-4.0298207600911455,4.0298207600911455,3.0543332563739214,4.007280038400756,-0.3193782150921261
2,10,additive,-1.9841950386706704,1.9841950386706704,2.11813645185959,2.302580715393574,0.06323549791673125
2,10,backoff,-1.9842697552509567,1.9842697552509567,2.11813645185959,2.302580715393574,0.06320022323920953
2,10,marginal,-2.302786256754097,2.302786256754097,2.11813645185959,2.302580715393574,-0.08717559472261384
2,10,state_cond_nn,-2.314258098602295,2.314258098602295,2.11813645185959,2.302580715393574,-0.09259160172165609
2,10,state_free_nn,-2.304094314575196,2.304094314575196,2.11813645185959,2.302580715393574,-0.08779314597619382
2,20,additive,-2.762138631372176,2.762138631372176,2.607293694945113,2.995720576336173,-0.05938914236139512
2,20,backoff,-2.7672203744067376,2.7672203744067376,2.607293694945113,2.995720576336173,-0.06133819130989439
2,20,marginal,-2.9959753308095927,2.9959753308095927,2.607293694945113,2.995720576336173,-0.1490747423729194
2,20,state_cond_nn,-2.9981706142425537,2.9981706142425537,2.607293694945113,2.995720576336173,-0.1499167201820236
2,20,state_free_nn,-3.021009922027588,3.021009922027588,2.607293694945113,2.995720576336173,-0.15867649581808402
2,35,additive,-3.405120061486228,3.405120061486228,2.89446285647492,3.5553000520416345,-0.17642555124484194
2,35,backoff,-3.4029976497024115,3.4029976497024115,2.89446285647492,3.5553000520416345,-0.1756922850434573
2,35,marginal,-3.5548565898140336,3.5548565898140336,2.89446285647492,3.5553000520416345,-0.2281576119941602
2,35,state_cond_nn,-3.575408697128296,3.575408697128296,2.89446285647492,3.5553000520416345,-0.2352581029430377
2,35,state_free_nn,-3.628434181213379,3.628434181213379,2.89446285647492,3.5553000520416345,-0.2535777313903211
2,55,additive,-3.84377264351068,3.84377264351068,3.052880545877726,4.007280038400756,-0.2590642135346197
2,55,backoff,-3.846423782632183,3.846423782632183,3.052880545877726,4.007280038400756,-0.25993261931783423
2,55,marginal,-4.0065413039776,4.0065413039776,3.052880545877726,4.007280038400756,-0.3123806332309963
2,55,state_cond_nn,-4.099170684814453,4.099170684814453,3.052880545877726,4.007280038400756,-0.34272226613960444
2,55,state_free_nn,-4.076437473297119,4.076437473297119,3.052880545877726,4.007280038400756,-0.33527578692900106
5,10,additive,-2.2434536379827152,2.2434536379827152,2.1282443243761584,2.30258070833435,-0.05413349975234989
5,10,backoff,-2.2441010335704243,2.2441010335704243,2.1282443243761584,2.30258070833435,-0.05443769207664935
5,10,marginal,-2.3025723552974,2.3025723552974,2.1282443243761584,2.30258070833435,-0.08191166254952495
5,10,state_cond_nn,-2.3261730670928955,2.3261730670928955,2.1282443243761584,2.30258070833435,-0.09300094939745931
5,10,state_free_nn,-2.36006236076355,2.36006236076355,2.1282443243761584,2.30258070833435,-0.10892454110283746
5,20,additive,-2.9510631772238587,2.9510631772238587,2.6073610546437154,2.9957168961920644,-0.1318199188286598
5,20,backoff,-2.9507015730323203,2.9507015730323203,2.6073610546437154,2.9957168961920644,-0.1316812329374617
5,20,marginal,-2.995252378215292,2.995252378215292,2.6073610546437154,2.9957168961920644,-0.14876778299681268
5,20,state_cond_nn,-3.082260847091675,3.082260847091675,2.6073610546437154,2.9957168961920644,-0.18213810151155013
5,20,state_free_nn,-3.066462755203247,3.066462755203247,2.6073610546437154,2.9957168961920644,-0.1760790665112799
5,35,additive,-3.5232561095309647,3.5232561095309647,2.891643783729977,3.555305439064954,-0.2184267403041812
5,35,backoff,-3.5183880994702896,3.5183880994702896,2.891643783729977,3.555305439064954,-0.21674326528970492
5,35,marginal,-3.554695470149658,3.554695470149658,2.891643783729977,3.555305439064954,-0.22929922770929967
5,35,state_cond_nn,-3.6478428840637207,3.6478428840637207,2.891643783729977,3.555305439064954,-0.261511844781348
5,35,state_free_nn,-3.664360284805298,3.664360284805298,2.891643783729977,3.555305439064954,-0.267223959404357
5,55,additive,-3.992575915522456,3.992575915522456,3.052450520628898,4.007296248437775,-0.30799037970969745
5,55,backoff,-3.9960711709140897,3.9960711709140897,3.052450520628898,4.007296248437775,-0.3091354450819327
5,55,marginal,-4.007260070092447,4.007260070092447,3.052450520628898,4.007296248437775,-0.31280099153477153
5,55,state_cond_nn,-4.030080318450928,4.030080318450928,3.052450520628898,4.007296248437775,-0.3202770335555212
5,55,state_free_nn,-4.033176422119141,4.033176422119141,3.052450520628898,4.007296248437775,-0.3212913345727822
10,10,additive,-2.286258595706187,2.286258595706187,2.132136158078284,2.302585092994046,-0.0722854574948044
10,10,backoff,-2.2878380882737286,2.2878380882737286,2.132136158078284,2.302585092994046,-0.0730262603565527
10,10,marginal,-2.3026507940320227,2.3026507940320227,2.132136158078284,2.302585092994046,-0.0799736148686796
10,10,state_cond_nn,-2.3117685317993164,2.3117685317993164,2.132136158078284,2.302585092994046,-0.08424995422568936
10,10,state_free_nn,-2.328627824783325,2.328627824783325,2.132136158078284,2.302585092994046,-0.09215718515938556
10,20,additive,-2.982930385690276,2.982930385690276,2.6264330307860875,2.995713907968648,-0.13573441649775825
10,20,backoff,-2.984535563931248,2.984535563931248,2.6264330307860875,2.995713907968648,-0.13634557932664326
10,20,marginal,-2.9955687703954794,2.9955687703954794,2.6264330307860875,2.995713907968648,-0.14054641229474263
10,20,state_cond_nn,-2.9736480712890625,2.9736480712890625,2.6264330307860875,2.995713907968648,-0.1322002260986849
10,20,state_free_nn,-3.002216339111328,3.002216339111328,2.6264330307860875,2.995713907968648,-0.14307743769608672
