model,epoch,train_nll,val_nll,gap,spec_prod
state_cond,1,4.007369847689274,4.008420100682218,0.001050252992944145,42.06592103761008
state_cond,2,3.9961861504448786,4.021858838578345,0.025672688133466792,42.06592103761008
state_cond,3,3.9644545771649495,4.106728309308979,0.14227373214402927,42.06592103761008
state_cond,4,3.941965222934594,4.059131203235035,0.11716598030044079,42.06592103761008
state_cond,5,3.931891473595071,4.004660335057219,0.07276886146214778,42.06592103761008
state_cond,6,3.913459833117499,3.9799419564260563,0.0664821233085573,42.06592103761008
state_cond,7,3.902687238610309,3.9782835194762325,0.0755962808659234,42.06592103761008
state_cond,8,3.898616293202276,3.9796967842209505,0.08108049101867465,42.06592103761008
state_cond,9,3.8918940779091655,3.9845287054357392,0.0926346275265737,42.06592103761008
state_cond,10,3.8856963189903664,3.9745674240757043,0.08887110508533791,42.06592103761008
state_cond,11,3.8799086308133774,3.9924065388424297,0.11249790802905224,42.06592103761008
state_cond,12,3.880329187365546,3.9932699713908453,0.11294078402529939,42.06592103761008
state_cond,13,3.8696833071501358,3.9901979258362674,0.12051461868613167,42.06592103761008
state_cond,14,3.8706219622478395,4.018895452794895,0.14827349054705508,42.06592103761008
state_cond,15,3.862168629964193,4.025782281580105,0.16361365161591257,42.06592103761008
state_cond,16,3.8603118675342505,4.00884511168574,0.14853324415148927,42.06592103761008
state_cond,17,3.858057492021201,4.003520439040493,0.14546294701929163,42.06592103761008
state_cond,18,3.8551003645007738,4.023014896016726,0.16791453151595181,42.06592103761008
state_cond,19,3.851996103922526,4.051759875660212,0.19976377173768567,42.06592103761008
state_cond,20,3.852695078089617,4.051605826364437,0.19891074827481958,42.06592103761008
state_free,1,4.006552544192991,4.007775706976233,0.001223162783241527,38.90873412298694
state_free,2,3.9805903227432915,4.0199462890625,0.03935596631920868,38.90873412298694
state_free,3,3.95004771872995,4.020306998239437,0.07025927950948674,38.90873412298694
state_free,4,3.9411768337378756,3.995633665272887,0.054456831535011574,38.90873412298694
state_free,5,3.9253211090530176,3.9786301303917253,0.05330902133870774,38.90873412298694
state_free,6,3.911023623701455,3.969758541483275,0.05873491778181972,38.90873412298694
state_free,7,3.905518094122698,3.9782254071302816,0.07270731300758371,38.90873412298694
state_free,8,3.8987816336074315,3.9792844960387326,0.08050286243130111,38.90873412298694
state_free,9,3.8934823003943992,3.978212340448944,0.08473004005454454,38.90873412298694
state_free,10,3.8877017256142437,3.967690567231514,0.07998884161727027,38.90873412298694
state_free,11,3.8829223337956673,3.9687637544014085,0.08584142060574118,38.90873412298694
state_free,12,3.8791584070178047,3.9759686537191903,0.0968102467013856,38.90873412298694
state_free,13,3.8737891929737036,3.977070381272007,0.10328118829830357,38.90873412298694
state_free,14,3.8734085341006663,3.978141161421655,0.10473262732098876,38.90873412298694
state_free,15,3.872779035337881,3.999329472931338,0.12655043759345697,38.90873412298694
state_free,16,3.867742695094307,4.005482504401408,0.1377398093071016,38.90873412298694
state_free,17,3.8688341776529946,3.992273465008803,0.12343928735580834,38.90873412298694
state_free,18,3.863801504678772,3.9852951694542256,0.12149366477545342,38.90873412298694
state_free,19,3.8593568663666216,3.9801819707306336,0.12082510436401206,38.90873412298694
state_free,20,3.858487281246462,3.989101700044014,0.1306144187975522,38.90873412298694
state_free,21,3.8598452397590672,3.9827743315360915,0.12292909177702427,38.90873412298694
