h,mean_kl,note
2,0.09628786083027649,Stationarity probe (NOT CK) — avg A^(1) raised to power h
5,0.011486887248224689,Stationarity probe (NOT CK) — avg A^(1) raised to power h
10,0.07832978445737747,Stationarity probe (NOT CK) — avg A^(1) raised to power h
