model,arch,h,N,seed,nll_test,n_params,delta_nll_vs_shallow
state_cond,deep,1,55,7,4.0796942710876465,102071,-0.2361893653869629
state_cond,deep,1,55,42,4.017306327819824,102071,-0.4261140823364258
state_cond,deep,1,55,123,4.022517204284668,102071,-0.29903507232666016
state_cond,shallow,1,55,7,4.315883636474609,101925,0.0
state_cond,shallow,1,55,42,4.44342041015625,101925,0.0
state_cond,shallow,1,55,123,4.321552276611328,101925,0.0
state_free,deep,1,55,7,4.05042028427124,98551,-0.3972787857055664
state_free,deep,1,55,42,4.012254238128662,98551,-0.3638114929199219
state_free,deep,1,55,123,4.011330604553223,98551,-0.2464585304260254
state_free,shallow,1,55,7,4.447699069976807,98555,0.0
state_free,shallow,1,55,42,4.376065731048584,98555,0.0
state_free,shallow,1,55,123,4.257789134979248,98555,0.0
state_cond,deep,10,55,7,4.001354694366455,102071,-0.3269529342651367
state_cond,deep,10,55,42,3.9775068759918213,102071,-0.3650095462799072
state_cond,deep,10,55,123,4.006311416625977,102071,-0.3315258026123047
state_cond,shallow,10,55,7,4.328307628631592,101925,0.0
state_cond,shallow,10,55,42,4.3425164222717285,101925,0.0
state_cond,shallow,10,55,123,4.337837219238281,101925,0.0
state_free,deep,10,55,7,3.9970767498016357,98551,-0.3544166088104248
state_free,deep,10,55,42,3.999457836151123,98551,-0.24969100952148438
state_free,deep,10,55,123,3.9943268299102783,98551,-0.12197422981262207
state_free,shallow,10,55,7,4.3514933586120605,98555,0.0
state_free,shallow,10,55,42,4.249148845672607,98555,0.0
state_free,shallow,10,55,123,4.1163010597229,98555,0.0
