h,N,model,ece_neg_return,brier_neg_return
1,55,state_cond,0.08237440783656047,0.2492846895008795
1,55,state_free,0.066897845335221,0.24689078762199845
1,55,backoff,0.08033776978313498,0.24845901161793246
10,55,state_cond,0.07865453675641854,0.24295590381452015
10,55,state_free,0.086144754442118,0.24398622953069352
10,55,backoff,0.11118270691782718,0.24806133257922625
