h,mean_kl,note
2,0.003069265388776589,Stationarity probe (NOT CK) — avg A^(1) raised to power h
5,0.01927386879627362,Stationarity probe (NOT CK) — avg A^(1) raised to power h
10,0.0051386060438712135,Stationarity probe (NOT CK) — avg A^(1) raised to power h
