h,N,model,ece_neg_return,brier_neg_return
1,55,state_cond,0.05678385295224996,0.2452836459632319
1,55,state_free,0.039998075935278044,0.24386168764297614
1,55,backoff,0.08033776978313498,0.24845901161793246
10,55,state_cond,0.07745809272184212,0.2427597174359414
10,55,state_free,0.0849814505900367,0.24331238835040886
10,55,backoff,0.11118270691782718,0.24806133257922625
