timestep,ck_kl,ck_tv,date
0,0.020335312927506625,0.07965737382953149,2020-03-27
1,0.018299929557096133,0.08146463203356478,2020-03-30
2,0.09954255749530522,0.1791955560553869,2020-03-31
3,0.13370098887163964,0.20296643543101303,2020-04-01
4,0.03443671277481981,0.09963490180092063,2020-04-02
5,0.1629536952258876,0.2156521434718783,2020-04-03
6,0.03202393230406632,0.1001545900745573,2020-04-06
7,0.1727824386945666,0.2306288070399569,2020-04-07
8,0.05295147255328544,0.1295850171061315,2020-04-08
9,0.02848817647127454,0.09531426955345622,2020-04-09
10,0.21373924979038117,0.2633484630673148,2020-04-13
11,0.301554210098552,0.3155367398453639,2020-04-14
12,0.35423446919170426,0.3434040951462873,2020-04-15
13,0.03341977391024577,0.09356980271191344,2020-04-16
14,0.3398853684851392,0.3343976480249353,2020-04-17
15,0.13541140268434015,0.21049325059996285,2020-04-20
16,0.025360513211103636,0.08651865979377948,2020-04-21
17,0.03811335714846617,0.10189485091563007,2020-04-22
18,0.18951235845159398,0.23397642691672296,2020-04-23
19,0.09269893245485963,0.15862074646030172,2020-04-24
20,0.14666876905028065,0.21573558640168128,2020-04-27
21,0.08203786867089896,0.15816833986618634,2020-04-28
22,0.2551875708554637,0.29752171397227173,2020-04-29
23,0.07246816500979167,0.15046794821541631,2020-04-30
24,0.09276516379869551,0.16474620517850463,2020-05-01
25,0.032438484008527654,0.09839537570167489,2020-05-04
26,0.05767153230675046,0.1337217398960576,2020-05-05
27,0.07022873215967257,0.1490277992513188,2020-05-06
28,0.02136472218623135,0.07486179858587219,2020-05-07
29,0.07418729835777567,0.14932636879412584,2020-05-08
30,0.018883372537820544,0.07983963053416793,2020-05-11
31,0.07732879508951727,0.15795482122034202,2020-05-12
32,0.7497750670318432,0.4759636776199948,2020-05-13
33,0.36717332862707086,0.35100123230225505,2020-05-14
34,0.08488847806778849,0.15836205418892194,2020-05-15
35,0.06522025704831429,0.1376318560757191,2020-05-18
36,0.013067148219455678,0.06355503792976777,2020-05-19
37,0.11701961444374455,0.19727580030655426,2020-05-20
38,0.01870385264062019,0.07832456701859486,2020-05-21
39,0.1692013096189247,0.22319935180621783,2020-05-22
40,0.7165207823335938,0.4136053294179339,2020-05-26
41,0.024409795996120608,0.09146312648434317,2020-05-27
42,0.036832516840492636,0.10312314581132115,2020-05-28
43,0.16561371229647956,0.2377896161276632,2020-05-29
44,0.06643808653079251,0.148753820396754,2020-06-01
45,0.03818387368922074,0.11662587195632064,2020-06-02
46,0.03713909220731259,0.09874946094968794,2020-06-03
47,0.05145769244615621,0.12766896288349602,2020-06-04
48,0.08558805693424942,0.16104710444032314,2020-06-05
49,0.025342585485913175,0.08510207965496573,2020-06-08
50,0.010105300188424043,0.053615994267668075,2020-06-09
51,0.034881026009216665,0.10729289004234535,2020-06-10
52,0.07260668823543322,0.15219812479036623,2020-06-11
53,0.2164905632485757,0.2636275003382198,2020-06-12
54,0.05726759211929688,0.12510653193501986,2020-06-15
55,0.04272942199256318,0.11574169955981244,2020-06-16
56,0.12613284518160725,0.19061533789144933,2020-06-17
57,0.04819173099565857,0.11798853601907779,2020-06-18
58,0.23598563627730362,0.2737644179912789,2020-06-19
59,0.09119289826093857,0.16724707676153147,2020-06-22
60,0.06683267536768872,0.14155893003513245,2020-06-23
61,0.11673336384056014,0.17968616591120873,2020-06-24
62,0.017934554629489594,0.07602047614567757,2020-06-25
63,0.10244161173047171,0.15554846812636347,2020-06-26
64,0.01428966452447411,0.06405445113971686,2020-06-29
65,0.07015855251970499,0.14551094295666944,2020-06-30
66,0.030250684723307327,0.09212977523418882,2020-07-01
67,0.08436252421273861,0.1559861917566725,2020-07-02
68,0.09526520383370078,0.15444211655373907,2020-07-06
69,0.4172249961109985,0.35311526360793266,2020-07-07
70,0.4821563400795743,0.3788608137275477,2020-07-08
71,0.347703243857331,0.3192965800450147,2020-07-09
72,0.14312884137402868,0.2191718226098483,2020-07-10
73,0.09702021174469429,0.1639327442040138,2020-07-13
74,0.008055366022545777,0.05057755083755991,2020-07-14
75,0.25416300907099076,0.2855150327921298,2020-07-15
76,0.023277814343780383,0.08104482811448706,2020-07-16
77,0.1932910017528643,0.22971887618212763,2020-07-17
78,0.038807495819968355,0.10152258609390585,2020-07-20
79,0.22550446086587986,0.258408296367767,2020-07-21
80,0.018395566157393094,0.06926103754332395,2020-07-22
81,0.059028300069944806,0.11359941991076963,2020-07-23
82,0.39306740738235363,0.33284242491156324,2020-07-24
83,0.010614570015360694,0.05586719824855453,2020-07-27
84,0.054710334141190906,0.11706325468804511,2020-07-28
85,0.0953318598202301,0.16375309214398634,2020-07-29
86,0.03000382532716114,0.0904010950320211,2020-07-30
87,0.12413876182563666,0.193636403073927,2020-07-31
88,0.029735065217841014,0.09400345530587288,2020-08-03
89,0.07917878319771736,0.1288611540489977,2020-08-04
90,0.05096290371424811,0.11666477317733301,2020-08-05
91,0.06367598619262234,0.13827328134596412,2020-08-06
92,0.02113519191049813,0.07721104876970016,2020-08-07
93,0.01491692275802746,0.06403204519807225,2020-08-10
94,0.030564574292541922,0.09153022775149627,2020-08-11
95,0.18760285098954516,0.24879737861784304,2020-08-12
96,0.06403672641137469,0.1379502219555828,2020-08-13
97,0.037273829773110535,0.08577683648030074,2020-08-14
98,0.011628984291703448,0.05833017342186816,2020-08-17
99,0.06052957538396827,0.1320631212629639,2020-08-18
100,0.15123500121090697,0.21283408148852878,2020-08-19
101,0.04241328268707281,0.10299101256169524,2020-08-20
102,0.17123806756604382,0.2340299259441417,2020-08-21
103,0.029133449135688994,0.09132527061946269,2020-08-24
104,0.23325466984752616,0.28327772383589794,2020-08-25
105,0.07138972172548867,0.14525888424250502,2020-08-26
106,0.1427730241590498,0.20987653878987528,2020-08-27
107,0.04281137911137461,0.11144410060053325,2020-08-28
108,0.01407380974623899,0.06420431384020778,2020-08-31
109,0.2079639698840813,0.2637852575879321,2020-09-01
110,0.1424339280234333,0.19285340245594107,2020-09-02
111,0.020767655412530967,0.07589585528442443,2020-09-03
112,0.07146852400524588,0.1458444894831037,2020-09-04
113,0.009540704269802393,0.053679449937226856,2020-09-08
114,0.007691971789514185,0.04810871310254312,2020-09-09
115,0.055746177851909454,0.13096848890151663,2020-09-10
116,0.037403031513077056,0.0906742146792348,2020-09-11
117,0.02222554090000187,0.07733448954020151,2020-09-14
118,0.04940718770950542,0.1142720108157208,2020-09-15
119,0.0258423463113134,0.08722461373397827,2020-09-16
120,0.09137251295083704,0.1687311512670429,2020-09-17
121,0.06216363060695579,0.13437833959927892,2020-09-18
122,0.05081289981985213,0.11362908344742689,2020-09-21
123,0.007989114004659053,0.047493657002041736,2020-09-22
124,0.05462615550489178,0.11883960284427461,2020-09-23
125,0.018742895706953356,0.07439883386302161,2020-09-24
126,0.022194480963624415,0.07989809008020583,2020-09-25
127,0.012036635288650736,0.058910644726388905,2020-09-28
128,0.03709659647960622,0.1027670021374195,2020-09-29
129,0.08956607759660758,0.1725561243037086,2020-09-30
130,0.07763503361043494,0.15743008158433608,2020-10-01
131,0.06652510173246212,0.14042585760424356,2020-10-02
132,0.008636207783779262,0.05139560717171673,2020-10-05
133,0.04391827968915787,0.11578823844133777,2020-10-06
134,0.020136362295277776,0.0756671928064115,2020-10-07
135,0.3760984321505991,0.36703116900805743,2020-10-08
136,0.09781164530167832,0.1727603021419329,2020-10-09
137,0.555985977087166,0.4426151883633424,2020-10-12
138,0.26259580688166717,0.3006961441810018,2020-10-13
139,0.09412337130590617,0.17084908227662435,2020-10-14
140,0.03520034432268285,0.10380693415803503,2020-10-15
141,0.02478908790067256,0.08529430843001878,2020-10-16
142,0.8435006877908432,0.5437573940977056,2020-10-19
143,0.01164914203421931,0.05837711457316019,2020-10-20
144,0.013450122286912452,0.06333611511370275,2020-10-21
145,0.08491261671260769,0.15766205925247348,2020-10-22
146,0.04066699787214356,0.11133717456778175,2020-10-23
147,0.11586419386445909,0.19082205154800996,2020-10-26
148,0.01865158403426413,0.07411880576674382,2020-10-27
149,0.007702856102730004,0.04851644618025461,2020-10-28
150,0.008602284597770512,0.051327136048173135,2020-10-29
151,0.10873540112533309,0.18309473254338465,2020-10-30
152,0.009277779933946816,0.052725648574859035,2020-11-02
153,0.026025462817792184,0.08813394065005493,2020-11-03
154,0.0679031948197639,0.13896385169195968,2020-11-04
155,0.057201173325187336,0.12696673112114312,2020-11-05
156,0.1383673275615147,0.1828476836998871,2020-11-06
157,0.4715007523937153,0.3518165801447135,2020-11-09
158,0.2518773588681656,0.2885254574985896,2020-11-10
159,0.8305726768375524,0.47390039522460065,2020-11-11
160,0.25598323064231054,0.27217734816158495,2020-11-12
161,0.1755487751757314,0.23029826831979805,2020-11-13
162,0.40152803169460316,0.32903855708967605,2020-11-16
163,0.07319349955419377,0.1377348274842682,2020-11-17
164,0.5061402230922984,0.3783467797950927,2020-11-18
165,0.15092329999974669,0.19961505048362058,2020-11-19
166,0.015735190674631208,0.06833005679342719,2020-11-20
167,0.20556839219858616,0.2438525466141342,2020-11-23
168,0.01219014729059347,0.05972508803442776,2020-11-24
169,0.019179376160123406,0.07586761348065106,2020-11-25
170,0.23444779185307627,0.27610234253582705,2020-11-27
171,0.1871096777562234,0.241384070397097,2020-11-30
