model,h,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,42,3.829369068145752,3.832785367965698,3.956043720245361,-0.0512894649871098
state_free,1,42,3.826428651809693,3.835853576660156,3.954124689102173,-0.0532084961302983
state_cond,2,42,3.8376896381378174,3.863049030303955,3.964908361434937,-0.0424248237975346
state_free,2,42,3.8419864177703857,3.86103630065918,3.9746150970458975,-0.0327180881865727
state_cond,5,42,3.8611419200897217,3.886789321899414,3.9695851802825928,-0.0377480049498784
state_free,5,42,3.8596911430358887,3.8871607780456543,3.9708991050720215,-0.0364340801604496
state_cond,10,42,3.8857812881469727,3.931730270385742,3.9805948734283447,-0.0267383118041264
state_free,10,42,3.8783774375915527,3.931186437606812,3.984908103942871,-0.0224250812896
state_cond,1,42,,,,
state_free,1,42,,,,
state_cond,2,42,,,,
state_free,2,42,,,,
state_cond,5,42,,,,
state_free,5,42,,,,
state_cond,10,42,,,,
state_free,10,42,,,,
state_cond,1,42,,,,
state_free,1,42,,,,
state_cond,2,42,,,,
state_free,2,42,,,,
state_cond,5,42,,,,
state_free,5,42,,,,
state_cond,10,42,,,,
state_free,10,42,,,,
state_cond,1,42,3.829788446426392,3.8359858989715576,3.954893589019776,-0.0524395962126957
state_free,1,42,3.838877439498901,3.833817720413208,3.95341420173645,-0.0539189834960209
state_cond,2,42,3.846140146255493,3.862265348434448,3.971459865570069,-0.0358733196624028
state_free,2,42,3.8427541255950928,3.860841751098633,3.9748733043670654,-0.0324598808654057
state_cond,5,42,3.857992887496948,3.885251760482788,3.971219539642334,-0.0361136455901371
state_free,5,42,3.832144260406494,3.884401798248291,3.9696216583251953,-0.0377115269072758
state_cond,10,42,3.8758623600006095,3.9229445457458496,3.9759597778320312,-0.0313734074004399
state_free,10,42,3.87939977645874,3.928443431854248,3.981956243515015,-0.0253769417174565
state_cond,1,42,3.8297884464263916,3.8359858989715576,3.9548935890197754,-0.05243959621269578
state_free,1,42,3.8388774394989014,3.833817720413208,3.95341420173645,-0.05391898349602098
state_cond,2,42,3.846140146255493,3.8622653484344482,3.9714598655700684,-0.035873319662402814
state_free,2,42,3.8427541255950928,3.860841751098633,3.9748733043670654,-0.032459880865405744
state_cond,5,42,3.8579928874969482,3.885251760482788,3.971219539642334,-0.03611364559013719
state_free,5,42,3.832144260406494,3.884401798248291,3.9696216583251953,-0.03771152690727586
state_cond,10,42,3.8758623600006104,3.9229445457458496,3.9759597778320312,-0.03137340740043992
state_free,10,42,3.8793997764587402,3.928443431854248,3.9819562435150146,-0.025376941717456525
